lor_nr,lor_name,bezirk,prognoseraum,bezirksregion,wert,rang,schicht,dezwert,kind_wand,arb_los,alg_eins,hartz4,jug_hartz4,grundsich,alt_arm,,fruehtod,raucher_krebs,,,
03040512,Wilhelmsruh,Pankow,Südliches Pankow,Schönholz / Wilhelmsruh / Rosenthal,"0,5863",126,3,"30,2","1,98","7,95","3,02","4,94","4,39","0,38","1,16",,"0,052","0,026",,,
03040513,Schönholz,Pankow,Südliches Pankow,Schönholz / Wilhelmsruh / Rosenthal,"0,7955",102,2,"24,5","2,45","6,39","2,44","3,95","1,23","0,27","2,37",,"0,090","0,031",,,
03040614,Pankow-Zentrum,Pankow,Südliches Pankow,Pankow Zentrum,"0,1153",204,4,"48,9","1,32","11,04","2,74","8,30","6,88","0,48","1,67",,"0,067","0,033",,,
03040818,Pankow-Süd,Pankow,Südliches Pankow,Pankow Süd,"-0,0386",226,4,"54,2","-3,81","11,55","2,81","8,74","6,12","0,44","2,17",,"0,074","0,033",,,
03050919,Gustav-Adolf-Straße,Pankow,Südliches Weißensee,Weißensee,"-0,2777",262,5,"62,8","1,95","14,89","3,52","11,38","7,64","0,25","1,37",,"0,102","0,040",,,
03050920,Weißer See,Pankow,Südliches Weißensee,Weißensee,"0,4576",145,3,"34,8","1,80","9,84","2,49","7,35","7,46","0,42","0,98",,"0,054","0,029",,,
03050923,Weißenseer Spitze,Pankow,Südliches Weißensee,Weißensee,"-0,7115",315,6,"75,5","-5,13","16,10","3,22","12,88","8,47","0,64","3,63",,"0,087","0,028",,,
03050924,Behaimstraße,Pankow,Südliches Weißensee,Weißensee,"-0,5507",296,5,"71,0","0,32","14,83","3,06","11,76","9,69","0,51","3,52",,"0,100","0,036",,,
03050925,Komponistenviertel Weißensee,Pankow,Südliches Weißensee,Weißensee,"-0,2710",260,5,"62,4","3,99","12,34","2,50","9,84","6,93","0,58","2,11",,"0,108","0,036",,,
03051017,Rennbahnstraße,Pankow,Südliches Weißensee,Weißensee Ost,"0,0531",212,4,"50,8","1,32","10,36","2,15","8,21","7,83","0,92","2,85",,"0,085","0,036",,,
03051021,Buschallee,Pankow,Südliches Weißensee,Weißensee Ost,"-0,2345",256,5,"61,4","2,73","14,23","3,50","10,73","7,69","0,61","1,70",,"0,082","0,028",,,
03051022,Hansastraße,Pankow,Südliches Weißensee,Weißensee Ost,"0,3593",165,3,"39,6","8,07","9,89","2,99","6,90","5,98","0,37","0,76",,"0,065","0,024",,,
03061126,Arnimplatz,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Nordwest,"-0,3682",274,5,"65,7","-3,68","12,05","2,66","9,39","5,99","0,51","3,92",,"0,084","0,050",,,
03061131,Falkplatz,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Nordwest,"-0,0721",235,4,"56,4","-3,33","10,72","2,19","8,53","5,54","0,28","4,97",,"0,079","0,047",,,
03061227,Humannplatz,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Nord ,"-0,0233",223,4,"53,5","-3,35","10,12","2,39","7,73","4,96","0,37","3,55",,"0,063","0,040",,,
03061228,Erich-Weinert-Straße,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Nord ,"-0,5597",297,5,"71,2","-7,29","15,11","2,93","12,18","7,05","0,79","2,43",,"0,072","0,033",,,
03061332,Helmholtzplatz,Pankow,Nördlicher Prenzlauer Berg,Helmholtzplatz,"-0,3152",269,5,"64,5","-3,23","10,35","2,37","7,98","4,24","0,42","7,52",,"0,088","0,056",,,
03061429,Greifswalder Straße,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Ost,"-0,2077",253,5,"60,7","1,48","13,14","3,21","9,94","9,41","0,67","1,30",,"0,084","0,036",,,
03061430,Volkspark Prenzlauer Berg,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Ost,"0,2902",176,3,"42,2","11,54","12,98","2,17","10,81","5,91","0,79","1,28",,"0,064","0,024",,,
03061434,Anton-Saefkow-Park,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Ost,"-1,0486",355,6,"85,1","-17,57","16,42","2,86","13,56","7,69","0,52","3,64",,"0,092","0,041",,,
03061435,Conrad-Blenkle-Straße,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Ost,"-1,0253",350,6,"83,9","-10,95","16,55","3,03","13,52","9,92","0,51","1,73",,"0,098","0,039",,,
03061441,Eldenaer Straße,Pankow,Nördlicher Prenzlauer Berg,Prenzlauer Berg Ost,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
03071536,Teutoburger Platz,Pankow,Südlicher Prenzlauer Berg,Prenzlauer Berg Südwest,"0,1252",202,4,"48,4","-9,02","8,87","2,26","6,62","2,64","0,25","3,81",,"0,081","0,042",,,
03071537,Kollwitzplatz,Pankow,Südlicher Prenzlauer Berg,Prenzlauer Berg Südwest,"0,3204",171,3,"41,0","-3,10","8,21","2,19","6,02","3,10","0,44","5,92",,"0,077","0,027",,,
03071633,Thälmannpark,Pankow,Südlicher Prenzlauer Berg,Prenzlauer Berg Süd ,"-0,8973",333,6,"79,9","12,96","16,10","3,36","12,74","10,25","1,71","5,35",,"0,096","0,032",,,
03071638,Winsstraße,Pankow,Südlicher Prenzlauer Berg,Prenzlauer Berg Süd ,"-0,0473",228,4,"54,7","0,37","9,64","2,51","7,13","4,42","0,30","3,39",,"0,071","0,038",,,
03071639,Bötzowstraße,Pankow,Südlicher Prenzlauer Berg,Prenzlauer Berg Süd ,"0,2035",190,4,"45,6","-2,65","9,29","2,06","7,23","4,28","0,34","2,66",,"0,059","0,029",,,
04010101,Jungfernheide,Charlottenburg-Wilmersdorf,CW1,Charlottenburg-Nord,"-0,7997",321,6,"77,0","-4,34","16,51","2,37","14,14","8,28","1,03","3,30",,"0,094","0,049",,,
04010102,Plötzensee,Charlottenburg-Wilmersdorf,CW1,Charlottenburg-Nord,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04010103,Paul-Hertz-Siedlung,Charlottenburg-Wilmersdorf,CW1,Charlottenburg-Nord,"-1,1005",358,6,"85,9","2,38","18,75","2,86","15,89","6,93","1,22","6,44",,"0,053","0,033",,,
04020204,Olympiagelände,Charlottenburg-Wilmersdorf,CW2,Heerstraße,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04020205,Siedlung Ruhleben,Charlottenburg-Wilmersdorf,CW2,Heerstraße,"1,4374",33,1,"7,9","-5,46","4,84","2,07","2,76","0,00","0,12","1,92",,"0,033","0,020",,,
04020206,Angerburger Allee,Charlottenburg-Wilmersdorf,CW2,Heerstraße,"1,2935",46,1,"11,0","15,79","6,57","2,77","3,81","0,00","0,71","1,51",,"0,081","0,032",,,
